"","mt_id","xpos_max","xpos_min","ypos_max","ypos_min","MAD","MAD_time","MD_above","MD_above_time","MD_below","MD_below_time","AD","AUC","xpos_flips","ypos_flips","xpos_reversals","ypos_reversals","RT","initiation_time","idle_time","sample_entropy"
"id0058","id0058",1,-607,918,0,131.560791972469,860,131.560791972469,860,0,0,47.4582017739773,96719,1,0,1,0,1208,200,378,0.0375251816825335
"id0059","id0059",467,-562,882,0,865.890030500552,1450,865.890030500552,1450,-21.9842404189176,850,245.622899347033,177167,3,3,3,0,2088,430,598,0.211649171888475
"id0060","id0060",0,-625,865,0,189.26708997449,670,189.26708997449,670,-83.1639480900883,920,14.3007327166223,81185,0,0,0,0,1216,460,526,0.0270190627321371
"id0061","id0061",0,-655,897,0,109.635375233047,530,109.635375233047,530,-20.0127708623578,940,27.3244206546352,63596.5,2,0,0,0,1096,320,426,0.0798950517116587
"id0062","id0062",51,-571,856,0,245.814037393776,550,245.814037393776,550,-3.35189916370261,870,35.8933689132398,136141.5,1,0,1,0,1048,370,438,0.12710240318014
"id0063","id0063",0,-570,868,0,179.250089162452,600,179.250089162452,600,0,0,33.4131702892237,119374.5,0,1,0,0,977,420,467,0.0600684792071391
"id0064","id0064",528,-587,910,0,922.150993096728,1451,922.150993096728,1451,-40.3385382144302,1001,243.515275249529,343269,3,5,3,0,1992,441,642,0.245261356567829
"id0065","id0065",3,-589,847,0,172.847022875496,590,172.847022875496,590,-2.05202527718391,900,33.3561432380859,95443.5,1,0,1,0,1192,380,472,0.101258546823809
"id0066","id0066",668,-576,885,0,1033.93680381985,750,1033.93680381985,750,-35.9975562150004,440,343.979121170089,356271.5,2,1,2,0,1601,230,651,0.193137245495824
"id0067","id0067",44,-549,841,0,187.297697819549,611,187.297697819549,611,-0.198141725627636,881,34.3050549640348,126666,1,0,1,0,1072,391,462,0.0661794645836363
"id0068","id0068",0,-615,808,0,120.081676902952,540,120.081676902952,540,0,0,20.2821068934834,73778,0,0,0,0,952,380,462,0.0653581559906153
"id0069","id0069",670,-540,906,0,1015.25190242587,760,1015.25190242587,760,0,0,313.498919062977,449936,2,3,2,0,1296,330,486,0.127468341390847
"id0070","id0070",193,-653,859,0,464.142596077579,660,464.142596077579,660,-75.1281517191283,910,60.6346666428505,188150.5,3,0,2,0,1191,240,291,0.12276977485709
"id0071","id0071",3,-629,858,0,-87.4058866123076,820,70.167487413383,610,-87.4058866123076,820,-11.0133683572851,20692.5,2,0,1,0,1144,470,604,0.0575580142448664
"id0072","id0072",0,-612,847,0,240.200158955457,1010,240.200158955457,1010,-98.6790842701866,720,17.0537559565532,-39837,2,0,0,0,1456,470,556,0.132258965935475
"id0073","id0073",517,-626,840,0,910.515034358701,1620,910.515034358701,1620,0,0,380.441986549195,458887.5,5,4,1,0,2495,400,725,0.153634817035318
"id0074","id0074",433,-597,859,0,674.082156904556,840,674.082156904556,840,-1.14140063950451,1410,204.183146539418,406916,1,0,1,0,1488,510,568,0.132468505013386
"id0075","id0075",66,-701,855,0,271.192569566316,570,271.192569566316,570,-97.5736842995915,850,43.479768031365,150018.5,3,3,1,0,1873,360,703,0.248567173805767
"id0077","id0077",390,-539,816,-1,728.028452761976,1680,728.028452761976,1680,-2.2199605756213,630,197.026569211603,307073,4,3,2,1,2504,80,1024,0.0952193574074594
"id0078","id0078",0,-892,929,0,139.480968812678,1750,139.480968812678,1750,-17.0776025254986,1970,10.6670836284188,110031.5,1,1,0,0,2295,1320,1555,0.0603220707586364
"id0079","id0079",94,-524,789,0,190.789853208993,1071,190.789853208993,1071,-1.37992627924849,1761,29.2583693061633,78579.5,1,0,1,0,2000,181,780,0.124736794620965
"id0080","id0080",44,-523,870,0,173.995581867197,1290,173.995581867197,1290,-11.7850401469643,1570,20.5375503935516,85461,1,0,1,0,1849,980,1079,0.0658949551577435
"id0081","id0081",0,-587,826,0,105.752931918467,1130,105.752931918467,1130,-0.235855199355315,430,27.7682720170049,64278,0,0,0,0,1710,410,680,0.0833513741660364
"id0082","id0082",83,-687,828,0,198.480340752572,1140,198.480340752572,1140,-44.5692360498069,1420,28.1387814517823,107483.5,2,0,1,0,1952,490,962,0.0905887357171254
"id0083","id0083",259,-654,918,0,550.098577263242,1590,550.098577263242,1590,-3.53497906752064,1900,154.77395713109,285337.5,4,1,3,0,2199,650,1029,0.113783030323037
"id0084","id0084",74,-525,867,0,189.788519595372,1531,189.788519595372,1531,-1.1780201618652,2221,40.2978851072013,106513,1,0,1,0,2704,151,1224,0.108517582210593
"id0085","id0085",516,-531,850,0,882.63345951056,2800,882.63345951056,2800,-5.33209668415624,1400,294.962313505415,160978.5,4,4,4,0,13416,1120,9106,0.266511365328814
"id0086","id0086",1,-561,803,0,31.016092312629,1020,31.016092312629,1020,-13.4305743685389,1240,2.94121939697445,11391.5,1,0,1,0,1551,670,891,0.0396796713263031
"id0087","id0087",170,-487,838,0,341.936284571439,1620,341.936284571439,1620,-6.98903007605826,2200,79.7779062428283,132149,2,0,2,0,2663,160,1153,0.147287234902276
"id0088","id0088",9,-584,802,0,70.8921339636182,1300,70.8921339636182,1300,-59.5888240866346,960,5.14815151019017,-2954,2,2,2,0,1776,60,766,0.0804072055817091
"id0089","id0089",0,-471,807,0,-112.995299447121,1210,6.48228418434216,880,-112.995299447121,1210,-16.9323073794486,-53562,2,0,0,0,1767,690,917,0.0288709984869651
"id0090","id0090",11,-600,822,0,61.6634443954349,1010,61.6634443954349,1010,-9.38600281838918,1330,7.63820187906502,29699.5,2,0,2,0,1751,190,811,0.0474417864703227
"id0091","id0091",13,-585,828,0,66.518436688022,980,66.518436688022,980,-9.38342287191236,1570,12.4880138638789,33954,1,0,1,0,1864,340,784,0.0776861057439571
"id0092","id0092",583,-565,869,0,944.621642247121,3080,944.621642247121,3080,-3.06215020543639,4070,302.239924123775,228849.5,4,2,3,0,4335,1100,2485,0.11434934022626
"id0093","id0093",0,-578,842,0,48.0310719658027,1280,48.0310719658027,1280,0,0,8.29229627157792,37220.5,0,0,0,0,3256,690,2366,0.0289093171540212
"id0094","id0094",1,-558,801,0,-16.6318503041269,1900,14.8064033195277,2120,-16.6318503041269,1900,4.10231566288623,-2829,1,0,1,0,3055,590,1865,0.0904957010722407
"id0095","id0095",15,-588,847,0,114.39316094608,1860,114.39316094608,1860,-25.5195188128375,2140,26.0560564685958,37613.5,3,0,1,0,2847,880,1347,0.092957876177356
"id0096","id0096",180,-866,848,0,464.899101792165,650,464.899101792165,650,-15.3574242745763,820,88.1294118310926,272719,2,0,1,0,984,410,464,0.078997459331913
"id0097","id0097",0,-614,898,0,-7.85592097327533,520,7.19589859335353,450,-7.85592097327533,520,0.284967879910523,-1247,0,0,0,0,823,340,343,0.0870113769896298
"id0098","id0098",580,-618,843,0,938.394242097541,1181,938.394242097541,1181,0,0,368.701399451187,604660.5,3,0,1,0,1472,461,532,0.0697463563901122
"id0099","id0099",0,-540,781,0,-10.0220571527803,530,3.62504421184009,650,-10.0220571527803,530,-1.70603676528113,-3907.5,0,0,0,0,816,430,430,0.0681163424854552
"id0100","id0100",0,-613,834,0,-48.481795110098,640,0.165209680234088,490,-48.481795110098,640,-10.858855947845,-33774,0,0,0,0,824,480,480,0.073209566762756
"id0101","id0101",750,-677,949,0,1093.63168218351,1560,1093.63168218351,1560,-101.588500669434,1270,401.538597498048,572922,4,5,4,0,2199,70,619,0.228113387599551
"id0102","id0102",75,-729,914,0,195.838038464692,580,195.838038464692,580,-1.71585078652266,800,50.4418696449069,132022.5,2,1,1,0,952,80,280,0.0722495403534662
"id0103","id0103",0,-511,777,0,111.777424530005,760,111.777424530005,760,-22.4608642961303,570,13.2400432449523,24268,2,0,0,0,1200,320,330,0.125646989100374
"id0104","id0104",127,-701,796,0,273.553033768658,690,273.553033768658,690,-6.37428376906316,890,53.9351706432524,156394,1,0,1,0,952,470,480,0.0414946654227077
"id0105","id0105",750,-471,867,0,1076.2240259275,881,1076.2240259275,881,0,0,580.342018303773,526527.5,1,1,1,0,2088,471,1111,0.109970810525928
"id0106","id0106",0,-499,746,0,-84.836202707219,610,0,0,-84.836202707219,610,-16.4240818977623,-51009,0,0,0,0,1168,490,680,0.0296232470777346
"id0107","id0107",0,-611,933,0,-38.1461831556558,670,10.3939674009911,860,-38.1461831556558,670,-4.65399942501353,-21309,0,0,0,0,920,530,550,0.0547104322013085
"id0108","id0108",601,-711,834,0,991.609126623881,1020,991.609126623881,1020,-2.28357896024219,1800,473.731642825756,566453,2,4,1,0,1895,630,1205,0.0620242021708581
"id0109","id0109",3,-750,827,0,-71.2060618874772,1270,38.8916211574558,1080,-71.2060618874772,1270,-4.54503962397412,-12300,1,0,1,0,1536,560,896,0.0263264251680486
"id0110","id0110",0,-650,844,0,-45.5614387396529,1200,1.03821804940778,960,-45.5614387396529,1200,-7.10739130892976,-28202,0,0,0,0,1544,940,954,0.0364949273123946
"id0111","id0111",50,-683,929,0,205.407537535481,880,205.407537535481,880,0,0,32.1005313621179,149048.5,2,1,1,0,1511,400,611,0.093517034653864
"id0112","id0112",655,-624,853,0,1019.61532382234,2700,1019.61532382234,2700,-20.1619830194508,920,395.223409843106,8677.5,4,8,4,0,5744,360,2464,0.256854608656521
"id0113","id0113",0,-650,861,0,-61.9388840789425,770,0,0,-61.9388840789425,770,-9.38810901757515,-39084.5,0,0,0,0,1024,580,654,0.0297192643728258
"id0114","id0114",0,-565,834,0,-5.487592713362,901,4.99621094905043,801,-5.487592713362,901,0.123076788424546,-421,0,0,0,0,1169,731,759,0.0340246020957461
"id0115","id0115",0,-780,918,0,-35.4682341275701,880,20.4878619494659,960,-35.4682341275701,880,0.84140781716278,-9973,1,1,0,0,1280,610,730,0.0300655557168284
"id0116","id0116",230,-512,791,0,544.107089763142,880,544.107089763142,880,-27.4196300457604,1030,125.421978761158,201611.5,4,0,2,0,1352,440,552,0.0997603126040593
"id0117","id0117",13,-498,819,0,147.273568876867,590,147.273568876867,590,0,0,52.3185814414923,101419.5,1,0,1,0,1463,320,528,0.18416293571751
"id0118","id0118",0,-548,871,0,53.5824026303076,790,53.5824026303076,790,-4.11544415276579,970,12.1529061414039,21561.5,0,0,0,0,1088,330,368,0.173271721274037
"id0119","id0119",0,-625,894,0,-61.865177914811,880,12.5833385009365,480,-61.865177914811,880,-16.7822674762537,-25708,0,0,0,0,1103,320,393,0.115272320515574
"id0120","id0120",0,-602,901,0,125.86108201662,561,125.86108201662,561,-24.7312817996495,781,15.6241530811363,37202.5,0,0,0,0,944,281,304,0.112795494145344
"id0121","id0121",0,-618,916,0,103.332220877043,550,103.332220877043,550,-42.8930980967624,700,20.4568358755829,50018,0,0,0,0,912,270,322,0.0750420392714044
"id0122","id0122",610,-555,894,0,959.730883163016,1840,959.730883163016,1840,0,0,497.294701494663,543536,3,1,1,0,3095,280,1335,0.167744771924421
"id0123","id0123",397,-635,890,0,855.82410240439,810,855.82410240439,810,0,0,227.036146946716,270725.5,4,3,2,0,1520,260,410,0.184766274091118
"id0124","id0124",148,-487,806,0,281.211731669668,720,281.211731669668,720,0,0,66.1474114998114,157152.5,1,0,1,0,1240,270,320,0.134391772200565
"id0125","id0125",48,-526,834,0,231.794897048,680,231.794897048,680,0,0,53.1254469814306,146290.5,3,0,1,0,1080,330,400,0.0984758068803292
"id0126","id0126",0,-530,823,0,74.827479366461,510,74.827479366461,510,0,0,20.49988545842,38548,0,0,0,0,1120,300,370,0.0807447862243151
"id0127","id0127",0,-538,883,0,-27.9113253650243,550,11.8995477231899,410,-27.9113253650243,550,-2.21989105105026,-7896.5,0,0,0,0,1416,310,586,0.111368161388748
"id0128","id0128",0,-470,930,0,-90.7136262732642,1081,10.1384493463457,641,-90.7136262732642,1081,-22.0195468485277,-52653.5,1,1,0,0,2248,461,1288,0.0673970271335348
"id0129","id0129",0,-533,785,0,35.1520714769329,770,35.1520714769329,770,-23.9648304045684,1140,0.830163899453739,1511,0,0,0,0,1489,490,549,0.0884481175603298
"id0130","id0130",441,-588,861,0,724.227461103086,981,724.227461103086,981,0,0,196.818637527398,433599,1,0,1,0,1560,461,550,0.124107024570593
"id0131","id0131",322,-512,856,0,582.420910910162,1010,582.420910910162,1010,0,0,142.971054205849,345809.5,1,0,1,0,1577,500,587,0.13512586545768
"id0132","id0132",2,-649,803,0,68.8692372666255,680,68.8692372666255,680,-22.067495055881,810,7.96258286548126,37365,2,0,1,0,1023,370,433,0.0305959007101152
"id0133","id0133",489,-582,874,0,877.028797781796,1020,877.028797781796,1020,0,0,344.057755092269,435991.5,1,2,1,0,1896,390,716,0.212174519943636
"id0134","id0134",0,-683,807,0,18.4112976875979,1700,18.4112976875979,1700,-14.0754441761697,1850,-0.23070750863963,3429,0,0,0,0,5167,230,4197,0.0256095942043244
"id0135","id0135",1,-507,826,0,134.354909325112,2460,134.354909325112,2460,-9.12166907164961,2180,14.8897981743299,54702.5,1,1,1,0,3240,1480,2490,0.0539724534040929
"id0137","id0137",0,-652,832,0,73.9576501965602,1460,73.9576501965602,1460,-2.44456825762268,1860,4.58696066337553,43941,0,0,0,0,1960,1360,1430,0.0556534579520921
"id0138","id0138",0,-599,850,0,92.3762307702165,1870,92.3762307702165,1870,-6.33645281543403,2110,4.58041939996844,62788.5,0,0,0,0,2672,1770,2252,0.0240975515790605
"id0140","id0140",0,-585,808,0,-77.9449470772385,990,0,0,-77.9449470772385,990,-16.8890785914104,-38501.5,1,0,0,0,1504,800,874,0.0247227607686701
"id0141","id0141",671,-491,811,0,989.53184357747,1580,989.53184357747,1580,-103.981683026244,4901,258.444673530712,145280.5,7,2,1,0,5504,1260,3814,0.0902634123760071
"id0142","id0142",0,-629,978,0,128.514216721818,1140,128.514216721818,1140,0,0,18.7182654356785,84863.5,0,1,0,0,1488,1000,1078,0.0579312540661054
"id0143","id0143",0,-626,765,0,-47.8119233537402,2230,3.44827853257769,2020,-47.8119233537402,2230,-4.28991748948273,-11357.5,1,0,0,0,2568,1960,2058,0.0240975515790605
"id0144","id0144",0,-533,813,0,-29.1202632698484,1650,3.66407777622664,1560,-29.1202632698484,1650,-4.97965748401777,-15930.5,0,0,0,0,2232,1510,1622,0.052091586778486
"id0145","id0145",0,-565,877,0,-24.8159089267242,1280,14.179834707908,1040,-24.8159089267242,1280,-2.5094722579332,-137.5,0,0,0,0,1528,960,1028,0.0298306981291407
"id0146","id0146",0,-631,823,0,-57.5878505117085,1330,25.5719537480326,1110,-57.5878505117085,1330,-15.731951923276,-6939,3,2,0,0,2000,1040,1420,0.0249622945599138
"id0147","id0147",0,-569,891,0,37.0086287334807,1170,37.0086287334807,1170,-23.5748512185186,1080,4.65112212609339,2017,0,0,0,0,1480,10,1040,0.0592824684177574
"id0148","id0148",0,-551,824,0,-40.6839758101611,1090,0.836317594391579,920,-40.6839758101611,1090,-6.08074206390702,-21885,0,0,0,0,1480,910,960,0.0493358842927614
"id0149","id0149",0,-574,834,0,-91.9719934724423,1730,1.70084381588068,1550,-91.9719934724423,1730,-11.9521281592963,-49960.5,0,0,0,0,2192,1540,1622,0.023776948023072
"id0150","id0150",0,-616,821,0,-87.0528405641242,1490,1.62224375751926,1870,-87.0528405641242,1490,-12.0874579913053,-50867,2,0,0,0,1919,1270,1330,0.0539346392349473
"id0151","id0151",1,-622,836,0,-88.5770824838092,1980,4.96157572689868,1820,-88.5770824838092,1980,-9.65187761619785,-49753,1,0,1,0,2408,1200,1808,0.0502029971340675
"id0152","id0152",381,-571,821,0,716.468625388526,1230,716.468625388526,1230,-28.974812057058,1720,165.162336326161,294860,1,2,1,0,2024,920,994,0.074818010348104
"id0153","id0153",0,-574,904,0,74.2055008016265,600,74.2055008016265,600,-17.5320791327897,680,4.81911182350303,29686,0,0,0,0,896,240,536,0.0282014351112082
"id0154","id0154",0,-537,856,0,39.6032685586239,990,39.6032685586239,990,-21.0401332573253,750,4.39562966488915,-1636,0,0,0,0,1215,650,695,0.0988584373487364
"id0155","id0155",0,-529,874,0,96.356324689422,770,96.356324689422,770,-7.87960599095741,560,20.7763720147026,46157.5,0,0,0,0,1088,510,588,0.104312846625383
"id0156","id0156",0,-552,899,0,-123.424663129222,680,0.38864654380736,550,-123.424663129222,680,-21.0271418617571,-71565.5,0,0,0,0,968,540,578,0.0279763931415078
"id0157","id0157",0,-588,865,0,-106.376171184059,600,0.562179258473036,440,-106.376171184059,600,-10.0524147997262,-66578,0,0,0,0,1576,430,1156,0.0264120995397772
"id0159","id0159",0,-672,929,0,146.480215082972,860,146.480215082972,860,-1.00509214727734,1190,20.8408101406658,125218,1,1,0,0,1272,760,832,0.0535281861301015
"id0161","id0161",0,-580,883,0,-114.880009266746,1120,15.5584185977448,930,-114.880009266746,1120,-18.5850857671603,-41190,1,0,0,0,1424,120,864,0.0525566469649088
"id0163","id0163",0,-577,806,0,48.2968793764153,660,48.2968793764153,660,0,0,17.6005097088009,30491,2,0,0,0,2295,420,1255,0.0358683568528692
"id0164","id0164",644,-707,842,0,996.342437282426,2110,996.342437282426,2110,-9.4285370986985,2490,321.074758511545,493659.5,4,1,1,0,2705,520,825,0.317162098869585
"id0165","id0165",0,-724,845,0,-95.1719099164625,920,14.8683457895007,730,-95.1719099164625,920,-16.1497800385951,-43842,1,0,0,0,1280,420,510,0.0373177630071952
"id0166","id0166",469,-565,939,0,839.960231965233,830,839.960231965233,830,0,0,214.455388011158,501780.5,1,1,1,0,1263,430,473,0.0566470356646521
"id0167","id0167",639,-486,848,0,976.064428753439,1370,976.064428753439,1370,0,0,178.838150514046,177136,3,0,3,0,1825,810,905,0.0834915937246
"id0168","id0168",40,-782,818,0,-252.282615776969,1040,129.360691616497,760,-252.282615776969,1040,-66.6695053198592,-5603.5,4,0,1,0,2520,280,940,0.099451371257326
"id0169","id0169",0,-583,919,0,-87.3517123987724,1010,8.5774057795296,850,-87.3517123987724,1010,-14.1253373286458,-36612,2,0,0,0,1370,750,780,0.0539855552841136
"id0171","id0171",7,-698,976,0,220.641855229964,590,220.641855229964,590,-20.2715485802215,770,30.8654678344896,133971.5,1,0,1,0,960,400,480,0.030203638202745
"id0172","id0172",0,-670,811,0,-85.3393310866969,942,4.95009045872872,722,-85.3393310866969,942,-11.570050680866,-50829,1,0,0,0,1656,552,1046,0.0250091183692441
"id0173","id0173",405,-544,824,0,667.708943117014,1090,667.708943117014,1090,0,0,147.397340958641,334665.5,1,0,1,0,1479,700,779,0.064844846764105
